"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"U1","TCA9548APWR","TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL","36.068mm","21.209mm","36.068mm","21.209mm","32.493mm","18.186mm","24","T","0","Yes","TCA9548APWR","TCA9548APWR"
"CN2","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","20.412mm","7.239mm","20.412mm","7.239mm","20.412mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"CN3","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","26.794mm","7.239mm","26.794mm","7.239mm","26.794mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"CN4","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","33.177mm","7.239mm","33.177mm","7.239mm","33.177mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"CN5","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","39.559mm","7.239mm","39.559mm","7.239mm","39.559mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"CN6","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","45.942mm","7.239mm","45.942mm","7.239mm","45.942mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"CN7","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","52.324mm","7.239mm","52.324mm","7.239mm","52.324mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"CN8","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","14.029mm","7.239mm","14.029mm","7.239mm","14.029mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"CN9","SH-XH2.54-4PZZ","CONN-TH_4P-P2.50_BX-XH2.54-4PZZ","7.647mm","7.239mm","7.647mm","7.239mm","7.647mm","10.989mm","4","T","270","No","SH-XH2.54-4PZZ","SH-XH2.54-4PZZ"
"C1","CL10B104KB8NNNC","C0603","6.604mm","26.543mm","6.604mm","26.543mm","6.604mm","25.843mm","2","T","90","Yes","100nF","100nF"
"R1","FRC0603J472 TS","R0603","14.605mm","21.082mm","14.605mm","21.082mm","15.358mm","21.082mm","2","T","180","Yes","4.7kΩ","4.7kΩ"
"R2","FRC0603J472 TS","R0603","18.669mm","21.082mm","18.669mm","21.082mm","17.916mm","21.082mm","2","T","0","Yes","4.7kΩ","4.7kΩ"
"R3","FRC0603J103 TS","R0603","10.922mm","21.082mm","10.922mm","21.082mm","10.169mm","21.082mm","2","T","0","Yes","10kΩ","10kΩ"
"CN1","ZX-XH2.54-4PZZ","CONN-TH_4P-P2.50_4PIN","14.097mm","25.781mm","14.097mm","25.781mm","17.847mm","25.781mm","4","T","180","No","ZX-XH2.54-4PZZ","ZX-XH2.54-4PZZ"
"H1","PZ254V-11-01P","HDR-TH_1P-P2.54-V-M","14.224mm","18.241mm","14.224mm","18.241mm","14.224mm","18.241mm","1","T","0","No","PZ254V-11-01P","PZ254V-11-01P"
